COUNTY_ID,COUNTY_NAME,DISTRICT_ID,DISTRICT_NAME,VAXADMIN,RTCUMVAXADMIN,PERSONVAX,PCTCUMPVAX,PERSONCVAX,PCTCUMPCVAX
13053,Chattahoochee County,07-0,7 West Central (Columbus),1674,15852,995,9.4,722,6.8
13055,Chattooga County,01-1,1-1 Northwest (Rome),10740,43285,6007,24.2,4965,20
13057,Cherokee County,01-2,1-2 North Georgia (Dalton),142328,57502,82236,33.2,63367,25.6
13059,Clarke County,10-0,10 Northeast (Athens),74611,59132,41585,33,34206,27.1
13061,Clay County,07-0,7 West Central (Columbus),1746,59166,967,32.8,779,26.4
13063,Clayton County,03-3,3-3 Clayton (Jonesboro),109005,38444,65765,23.2,45198,15.9
13065,Clinch County,09-2,9-2 Southeast (Waycross),2791,41743,1552,23.2,1288,19.3
13067,Cobb County,03-1,3-1 Cobb/Douglas (Marietta),489360,65142,285219,38,209665,27.9
13069,Coffee County,09-2,9-2 Southeast (Waycross),16468,38278,9207,21.4,7627,17.7
13071,Colquitt County,08-2,8-2 Southwest (Albany),20034,44044,11261,24.8,9149,20.1
13073,Columbia County,06-0,6 East Central (Augusta),75877,50348,42336,28.1,34195,22.7
13075,Cook County,08-1,8-1 South (Valdosta),7400,43080,4066,23.7,3464,20.2
13077,Coweta County,04-0,4 LaGrange,66244,46240,38985,27.2,29479,20.6
13079,Crawford County,05-2,5-2 North Central (Macon),5183,42052,2935,23.8,2327,18.9
13081,Crisp County,07-0,7 West Central (Columbus),11068,48729,6227,27.4,5081,22.4
13083,Dade County,01-1,1-1 Northwest (Rome),7007,43261,3868,23.9,3306,20.4
13085,Dawson County,02-0,2 North (Gainesville),11177,45553,6336,25.8,5128,20.9
13087,Decatur County,08-2,8-2 Southwest (Albany),13218,49539,7354,27.6,6082,22.8
13089,DeKalb County,03-5,3-5 DeKalb (Decatur),455935,60846,262915,35.1,196430,26.2
13091,Dodge County,05-1,5-1 South Central (Dublin),6247,29991,3583,17.2,2968,14.2
13093,Dooly County,07-0,7 West Central (Columbus),5613,40863,3109,22.6,2639,19.2
13095,Dougherty County,08-2,8-2 Southwest (Albany),47789,53274,26239,29.3,22045,24.6
13097,Douglas County,03-1,3-1 Cobb/Douglas (Marietta),64185,44785,38476,26.8,26883,18.8
13099,Early County,08-2,8-2 Southwest (Albany),6071,58873,3268,31.7,2859,27.7
13101,Echols County,08-1,8-1 South (Valdosta),1175,29515,729,18.3,481,12.1
13103,Effingham County,09-1,9-1 Coastal (Savannah),25358,41929,14283,23.6,11547,19.1
13105,Elbert County,10-0,10 Northeast (Athens),9821,51241,5331,27.8,4574,23.9
13107,Emanuel County,06-0,6 East Central (Augusta),8489,37673,4784,21.2,3950,17.5
13109,Evans County,09-2,9-2 Southeast (Waycross),4792,44839,2696,25.2,2164,20.2
13111,Fannin County,01-2,1-2 North Georgia (Dalton),13578,53467,7440,29.3,6381,25.1
13113,Fayette County,04-0,4 LaGrange,83595,74437,47621,42.4,37438,33.3
